SNO,Gender,I am able to quickly adapt to changes in life,I trust others easily,I feel satisfied with my personal life,I feel satisfied with my school life,I feel responsible for doing well in my life,I feel confident about my body image,I can understand and respect others  viewpoints,I hesitate to ask questions in class,I find it difficult to initiate conversations,People in my life see me as a happy person,My teachers see me as a good leader,My friends consider me trustworthy,I give in to peer pressure to fit in,I worry that people do not  like me,I often find it difficult to stay focused during class,I have trouble finishing assignments or tasks on time,"I frequently forget things like assignments, books, or my personal items","I get distracted easily, even by things that aren't part of the task at hand",I often find myself daydreaming or thinking about unrelated things when I should be focusing,I have trouble sitting still or staying in one place for a long time,"I talk or move around excessively, even when it's not appropriate","I tend to act impulsively, without thinking about the consequences",I often interrupt others or have trouble waiting for my turn during conversations,I struggle with organizing tasks or managing my time effectively,"I often feel restless or find it hard to relax, even when I should be resting","When I'm asked to complete a task, I often start it but don't finish it","Do you often lose things necessary for tasks (e.g., books, pencils, assignments)?",I am satisfied with my academic performance,I am able to submit my assignments on time,What prevents you from doing well academically?,I feel anxious due to:,I feel valued when I perform well academically,I get bothered when teachers don't notice my efforts,I feel like I donât belong or fit in at school,I feel jealous of others who are more popular or successful,I don't enjoy group activities or school events,I find online classes better than offline classes,What challenges did you face during online classes?,I often feel happy,I often feel anxious,I often feel lonely or tearful,I feel hopeful during stressful situations,I can understand others feelings and respond accordingly,I get into fights with my classmates or friends,I skip school or classes without a good reason,I tend to lie or hide the truth to avoid trouble,I have trouble following rules or instructions,"When feeling low, I prefer:",I believe I can solve challenging tasks,I have people I can talk to about my feelings,I usually cope with stress by:,I feel satisfied with my eating habits,I skip meals intentionally,I eat even when I'm not hungry due to stress or emotions,I feel guilty after eating,I avoid eating in front of others,I worry excessively about gaining weight,I feel pressure to look a certain way because of social media or peers,I restrict food intake to control my weight,Do you think your eating habits affect your emotional or physical well-being?,I feel overwhelmed by my emotions,I have felt hopeless or helpless recently,I feel like life is not worth living,I have thoughts of hurting myself,I find it difficult to share my feelings with others,I take part  in risky activities,Stress Risk %,Depression Risk %,Eating Disorder Risk %,Behavioral Issues Risk %,Mental Health Risk %,Stress Classification,Depression Classification,Eating Disorder Classification,Behavioral Issues Classification,Predicted Risk %
29,Female,Always,Rarely,Always,Sometimes,Sometimes,Rarely,Rarely,Yes,Always,Never,Never,Often,Never,Often,Always,Always,Rarely,Never,Rarely,Often,Never,Always,Always,Sometimes,Often,Sometimes,Sometimes,Never,Sometimes,Difficulty understanding content,Results,Yes,Yes,yes,yes,yes,Yes,Personal reasons  ,Sometimes,Never,Never,Rarely,Yes,Always,Always,Always,Sometimes,Talking to friends  ,Often,No,Helping others  ,Always,Never,Always,Rarely,Always,Sometimes,Rarely,Sometimes,Never,Rarely,No,No,Often,Skip,"Engaging in unsafe actions (e.g., reckless behavior, unsafe stunts), Bullying or getting into fights, Driving without a license, Running away from home, Using weapons or carrying dangerous objects that could hurt others",20.0,45.0,45.83333333333333,83.33333333333334,48.54166666666667,Low Risk,Moderate Risk,Moderate Risk,High Risk,48.33333333333332
30,Prefer not to say,Rarely,Always,Often,Always,Often,Always,Sometimes,Sometimes,Often,Always,Never,Rarely,Never,Rarely,Often,Sometimes,Always,Sometimes,Sometimes,Rarely,Rarely,Always,Never,Often,Sometimes,Never,Rarely,Never,Sometimes,Difficulty managing time,College admissions,Yes,yes,No,yes,yes,No,Technical issues  ,Never,Rarely,Never,Never,No,Sometimes,Often,Often,Always,Waiting for things to improve  ,Rarely,Yes,Writing a diary  ,Sometimes,Rarely,Always,Rarely,Rarely,Often,Always,Often,Sometimes,Always,Yes,Yes,Often,Rarely,"Driving without a license, Avoiding homework or assignments intentionally",60.0,75.0,50.0,75.0,65.0,High Risk,High Risk,Moderate Risk,High Risk,62.80208333333333
31,Female,Never,Always,Sometimes,Never,Sometimes,Always,Never,Yes,Rarely,Often,Never,Rarely,Always,Sometimes,Rarely,Rarely,Never,Never,Always,Rarely,Rarely,Never,Sometimes,Never,Rarely,Always,Sometimes,Often,Often,Poor study habits,Exams,No,No,No,yes,yes,No,Difficulty understanding content  ,Sometimes,Never,Rarely,Never,No,Sometimes,Often,Rarely,Always,Ignoring the feelings  ,Sometimes,Yes,Watching TV  ,Sometimes,Sometimes,Often,Never,Rarely,Rarely,Never,Never,Sometimes,Often,Not Sure,Not Sure,Often,Rarely,"Skipping classes, Engaging in unsafe actions (e.g., reckless behavior, unsafe stunts), Experimenting with substances I try alcohol, smoking, or other substances, Driving without a license, Stealing or shoplifting, Avoiding homework or assignments intentionally, Using weapons or carrying dangerous objects that could hurt others",25.0,55.00000000000001,33.33333333333333,58.333333333333336,42.916666666666664,Low Risk,Moderate Risk,Moderate Risk,Moderate Risk,46.18333333333331
32,Prefer not to say,Never,Always,Sometimes,Sometimes,Rarely,Rarely,Rarely,Yes,Always,Never,Sometimes,Always,Often,Often,Often,Always,Never,Often,Sometimes,Always,Sometimes,Rarely,Sometimes,Often,Always,Always,Often,Rarely,Sometimes,Poor study habits,Career,Yes,No,No,No,yes,No,Electricity/internet problems  ,Never,Sometimes,Rarely,Often,No,Never,Often,Sometimes,Rarely,Solving on my own  ,Never,No,Changing the way I think  ,Never,Never,Sometimes,Often,Always,Sometimes,Never,Sometimes,Never,Always,Yes,Yes,Always,Skip,"Skipping classes, Engaging in unsafe actions (e.g., reckless behavior, unsafe stunts), Bullying or getting into fights, Experimenting with substances I try alcohol, smoking, or other substances, Driving without a license, Stealing or shoplifting, Running away from home, Using weapons or carrying dangerous objects that could hurt others",45.0,85.0,45.83333333333333,25.0,50.20833333333333,Moderate Risk,High Risk,Moderate Risk,Low Risk,49.07083333333334
33,Female,Often,Rarely,Never,Often,Sometimes,Rarely,Often,Sometimes,Sometimes,Never,Always,Sometimes,Never,Never,Sometimes,Rarely,Sometimes,Sometimes,Sometimes,Sometimes,Never,Rarely,Sometimes,Rarely,Always,Always,Often,Often,Sometimes,Lack of concentration,Studies,No,yes,yes,yes,yes,No,Lack of social interaction  ,Sometimes,Often,Sometimes,Rarely,Yes,Never,Sometimes,Never,Sometimes,Talking to friends  ,Often,No,Helping others  ,Rarely,Rarely,Never,Always,Rarely,Often,Rarely,Never,Never,Often,No,No,Rarely,Sometimes,"Skipping classes, Bullying or getting into fights, Driving without a license, Stealing or shoplifting, Avoiding homework or assignments intentionally, Using weapons or carrying dangerous objects that could hurt others",60.0,25.0,25.0,16.666666666666664,31.666666666666664,High Risk,Low Risk,Low Risk,Low Risk,35.262499999999974
34,Prefer not to say,Sometimes,Always,Always,Always,Sometimes,Never,Sometimes,Yes,Always,Sometimes,Never,Always,Rarely,Never,Always,Never,Rarely,Often,Rarely,Always,Often,Often,Never,Often,Often,Sometimes,Sometimes,Always,Always,Difficulty understanding content,I dont feel anxious,Yes,yes,yes,No,yes,No,Lack of time management  ,Always,Rarely,Rarely,Always,No,Never,Sometimes,Often,Often,Talking to teachers  ,Never,Yes,Writing a diary  ,Never,Always,Rarely,Always,Always,Sometimes,Sometimes,Rarely,Rarely,Often,Not Sure,Not Sure,Often,Never,"Skipping classes, Engaging in unsafe actions (e.g., reckless behavior, unsafe stunts), Running away from home, Avoiding homework or assignments intentionally, Using weapons or carrying dangerous objects that could hurt others",45.0,45.0,62.5,50.0,50.625,Moderate Risk,Moderate Risk,High Risk,Moderate Risk,49.13958333333332
35,Male,Sometimes,Always,Never,Always,Always,Often,Often,Yes,Often,Sometimes,Often,Often,Often,Rarely,Never,Sometimes,Often,Rarely,Rarely,Never,Never,Often,Often,Often,Always,Sometimes,Never,Always,Always,Distractions,Exams,Yes,Yes,No,yes,yes,No,Difficulty understanding content  ,Often,Rarely,Sometimes,Always,No,Always,Often,Rarely,Never,Ignoring the feelings  ,Rarely,No,Yoga or meditation  ,Rarely,Never,Always,Always,Never,Often,Sometimes,Often,Sometimes,Often,Not Sure,Not Sure,Always,Rarely,"Engaging in unsafe actions (e.g., reckless behavior, unsafe stunts), Bullying or getting into fights, Running away from home, Avoiding homework or assignments intentionally",55.00000000000001,60.0,54.166666666666664,41.66666666666667,52.70833333333333,Moderate Risk,High Risk,Moderate Risk,Moderate Risk,52.53333333333333
36,Female,Never,Always,Rarely,Never,Often,Never,Sometimes,Yes,Rarely,Always,Rarely,Sometimes,Often,Always,Always,Often,Rarely,Often,Always,Sometimes,Never,Never,Rarely,Rarely,Often,Rarely,Often,Sometimes,Rarely,Difficulty managing time,College admissions,No,Yes,yes,yes,yes,Yes,Technical issues  ,Often,Rarely,Sometimes,Sometimes,Yes,Often,Rarely,Sometimes,Never,Waiting for things to improve  ,Often,No,Changing the way I think  ,Never,Rarely,Sometimes,Sometimes,Never,Rarely,Always,Never,Rarely,Always,Yes,Yes,Rarely,Often,"Skipping classes, Engaging in unsafe actions (e.g., reckless behavior, unsafe stunts), Bullying or getting into fights, Experimenting with substances I try alcohol, smoking, or other substances, Driving without a license, Running away from home, Avoiding homework or assignments intentionally",60.0,65.0,25.0,41.66666666666667,47.91666666666667,High Risk,High Risk,Low Risk,Moderate Risk,48.98333333333333
37,Female,Sometimes,Always,Often,Rarely,Rarely,Sometimes,Always,No,Sometimes,Sometimes,Often,Often,Sometimes,Rarely,Rarely,Sometimes,Rarely,Rarely,Sometimes,Always,Never,Always,Often,Often,Never,Never,Sometimes,Often,Sometimes,Lack of concentration,Results,Yes,Yes,No,No,yes,No,Personal reasons  ,Rarely,Sometimes,Rarely,Always,No,Never,Often,Rarely,Always,Talking to friends  ,Often,No,Watching TV  ,Never,Sometimes,Often,Rarely,Never,Always,Rarely,Often,Sometimes,Rarely,No,No,Sometimes,Never,"Skipping classes, Engaging in unsafe actions (e.g., reckless behavior, unsafe stunts), Experimenting with substances I try alcohol, smoking, or other substances, Stealing or shoplifting, Running away from home, Using weapons or carrying dangerous objects that could hurt others",45.0,25.0,45.83333333333333,41.66666666666667,39.375,Moderate Risk,Low Risk,Moderate Risk,Moderate Risk,41.02291666666666
38,Male,Often,Never,Sometimes,Sometimes,Rarely,Never,Sometimes,No,Often,Rarely,Rarely,Sometimes,Sometimes,Sometimes,Always,Rarely,Sometimes,Rarely,Often,Never,Never,Sometimes,Always,Often,Sometimes,Rarely,Never,Sometimes,Sometimes,Poor study habits,Studies,No,Yes,No,yes,No,No,Lack of social interaction  ,Rarely,Never,Sometimes,Always,No,Never,Never,Often,Always,Talking to parents  ,Never,Yes,Helping others  ,Often,Sometimes,Rarely,Rarely,Sometimes,Sometimes,Always,Never,Rarely,Often,No,No,Always,Always,"Engaging in unsafe actions (e.g., reckless behavior, unsafe stunts), Experimenting with substances I try alcohol, smoking, or other substances, Stealing or shoplifting, Avoiding homework or assignments intentionally, Using weapons or carrying dangerous objects that could hurt others",55.00000000000001,40.0,29.166666666666668,58.333333333333336,45.625,Moderate Risk,Moderate Risk,Low Risk,Moderate Risk,44.60416666666668
39,Female,Sometimes,Sometimes,Sometimes,Rarely,Rarely,Often,Often,Yes,Always,Sometimes,Rarely,Never,Sometimes,Never,Always,Sometimes,Often,Sometimes,Sometimes,Rarely,Often,Rarely,Often,Never,Rarely,Never,Never,Never,Often,Distractions,Career,Yes,No,No,No,yes,No,Electricity/internet problems  ,Often,Rarely,Never,Often,No,Never,Often,Sometimes,Often,Solving on my own  ,Never,No,Writing a diary  ,Sometimes,Sometimes,Never,Always,Never,Always,Always,Never,Sometimes,Rarely,Not Sure,Not Sure,Often,Often,"Skipping classes, Running away from home, Avoiding homework or assignments intentionally",50.0,65.0,33.33333333333333,41.66666666666667,47.5,Moderate Risk,High Risk,Moderate Risk,Moderate Risk,48.44583333333333
40,Female,Often,Never,Often,Rarely,Sometimes,Sometimes,Rarely,Yes,Always,Always,Often,Always,Always,Sometimes,Often,Rarely,Always,Often,Never,Never,Never,Never,Rarely,Always,Often,Often,Never,Never,Sometimes,Difficulty managing time,I dont feel anxious,Yes,No,No,yes,yes,No,Difficulty understanding content  ,Always,Sometimes,Sometimes,Sometimes,No,Often,Sometimes,Sometimes,Always,Talking to teachers  ,Always,No,Yoga or meditation  ,Sometimes,Never,Never,Often,Always,Rarely,Often,Always,Always,Never,Not Sure,Not Sure,Always,Often,"Bullying or getting into fights, Experimenting with substances I try alcohol, smoking, or other substances, Driving without a license, Stealing or shoplifting, Avoiding homework or assignments intentionally",40.0,65.0,62.5,75.0,60.625,Moderate Risk,High Risk,High Risk,High Risk,59.55833333333334
41,Female,Always,Never,Rarely,Rarely,Often,Never,Sometimes,No,Never,Sometimes,Never,Sometimes,Never,Rarely,Sometimes,Sometimes,Never,Never,Never,Rarely,Always,Rarely,Never,Often,Often,Often,Never,Never,Sometimes,Difficulty understanding content,Exams,No,yes,No,yes,No,No,Technical issues  ,Sometimes,Never,Sometimes,Always,Yes,Rarely,Never,Sometimes,Often,Ignoring the feelings  ,Rarely,No,Watching TV  ,Rarely,Sometimes,Rarely,Often,Often,Sometimes,Always,Sometimes,Never,Sometimes,No,No,Often,Rarely,"Driving without a license, Using weapons or carrying dangerous objects that could hurt others",50.0,20.0,45.83333333333333,50.0,41.45833333333333,Moderate Risk,Low Risk,Moderate Risk,Moderate Risk,42.37083333333336
42,Prefer not to say,Often,Often,Often,Rarely,Never,Often,Always,Yes,Never,Rarely,Never,Rarely,Never,Never,Sometimes,Rarely,Sometimes,Rarely,Rarely,Often,Often,Never,Rarely,Always,Never,Often,Sometimes,Rarely,Always,Lack of concentration,Studies,Yes,yes,yes,yes,yes,No,Lack of time management  ,Often,Always,Never,Often,Yes,Never,Rarely,Never,Often,Waiting for things to improve  ,Sometimes,No,Helping others  ,Often,Always,Often,Rarely,Often,Rarely,Rarely,Sometimes,Rarely,Always,Yes,Yes,Rarely,Rarely,"Skipping classes, Engaging in unsafe actions (e.g., reckless behavior, unsafe stunts), Stealing or shoplifting",50.0,55.00000000000001,58.333333333333336,25.0,47.083333333333336,Moderate Risk,Moderate Risk,Moderate Risk,Low Risk,47.23333333333333
43,Male,Sometimes,Often,Always,Often,Always,Always,Always,Yes,Always,Always,Sometimes,Often,Often,Sometimes,Often,Sometimes,Always,Always,Often,Always,Often,Never,Often,Always,Sometimes,Always,Rarely,Sometimes,Rarely,Distractions,Results,Yes,No,No,No,yes,Yes,Electricity/internet problems  ,Never,Always,Sometimes,Often,No,Always,Never,Never,Rarely,Talking to parents  ,Rarely,No,Changing the way I think  ,Rarely,Never,Always,Never,Sometimes,Always,Never,Never,Often,Never,No,No,Sometimes,Often,"Skipping classes, Driving without a license, Running away from home",50.0,25.0,37.5,41.66666666666667,38.54166666666667,Moderate Risk,Low Risk,Moderate Risk,Moderate Risk,43.42083333333332
44,Prefer not to say,Often,Often,Never,Often,Sometimes,Always,Never,Yes,Often,Sometimes,Rarely,Rarely,Never,Often,Often,Rarely,Often,Rarely,Rarely,Often,Often,Sometimes,Often,Rarely,Never,Sometimes,Never,Always,Always,Poor study habits,Career,No,No,No,yes,yes,Yes,Personal reasons  ,Sometimes,Never,Never,Sometimes,No,Rarely,Rarely,Never,Sometimes,Talking to teachers  ,Never,No,Writing a diary  ,Sometimes,Sometimes,Sometimes,Never,Rarely,Never,Never,Often,Always,Sometimes,Not Sure,Not Sure,Always,Skip,"Skipping classes, Bullying or getting into fights, Experimenting with substances I try alcohol, smoking, or other substances, Stealing or shoplifting, Using weapons or carrying dangerous objects that could hurt others",10.0,55.00000000000001,50.0,25.0,35.0,Low Risk,Moderate Risk,Moderate Risk,Low Risk,39.643750000000004
45,Female,Often,Sometimes,Often,Always,Never,Always,Often,Yes,Always,Always,Rarely,Never,Often,Rarely,Always,Never,Sometimes,Sometimes,Often,Rarely,Never,Often,Never,Often,Never,Always,Always,Sometimes,Always,Difficulty managing time,College admissions,Yes,Yes,yes,yes,yes,Yes,Lack of social interaction  ,Rarely,Sometimes,Always,Often,Yes,Never,Never,Rarely,Often,Talking to friends  ,Sometimes,No,Yoga or meditation  ,Sometimes,Always,Never,Rarely,Rarely,Always,Sometimes,Sometimes,Always,Rarely,Yes,Yes,Never,Sometimes,"Bullying or getting into fights, Experimenting with substances I try alcohol, smoking, or other substances, Driving without a license, Stealing or shoplifting, Avoiding homework or assignments intentionally",65.0,50.0,50.0,33.33333333333333,49.58333333333333,High Risk,Moderate Risk,Moderate Risk,Moderate Risk,50.67708333333332
46,Male,Often,Sometimes,Rarely,Always,Often,Often,Always,Yes,Often,Never,Often,Rarely,Rarely,Never,Rarely,Rarely,Rarely,Often,Rarely,Rarely,Often,Rarely,Sometimes,Never,Sometimes,Sometimes,Always,Rarely,Sometimes,Difficulty understanding content,I dont feel anxious,No,Yes,No,yes,yes,Yes,Difficulty understanding content  ,Sometimes,Sometimes,Never,Never,Yes,Always,Often,Sometimes,Never,Solving on my own  ,Often,No,Watching TV  ,Never,Never,Never,Always,Never,Never,Never,Rarely,Often,Rarely,Not Sure,Not Sure,Skip,Skip,"Skipping classes, Engaging in unsafe actions (e.g., reckless behavior, unsafe stunts), Bullying or getting into fights, Stealing or shoplifting, Avoiding homework or assignments intentionally",15.0,55.00000000000001,33.33333333333333,50.0,38.33333333333333,Low Risk,Moderate Risk,Moderate Risk,Moderate Risk,48.11666666666667
47,Female,Never,Always,Sometimes,Sometimes,Often,Never,Never,Yes,Rarely,Sometimes,Sometimes,Rarely,Never,Rarely,Often,Rarely,Always,Sometimes,Never,Never,Often,Always,Always,Sometimes,Sometimes,Always,Often,Often,Sometimes,Distractions,Exams,No,No,yes,yes,yes,Yes,Lack of time management  ,Sometimes,Rarely,Always,Rarely,No,Never,Often,Often,Sometimes,Waiting for things to improve  ,Sometimes,No,Helping others  ,Sometimes,Never,Rarely,Always,Always,Never,Never,Sometimes,Sometimes,Never,Not Sure,Not Sure,Always,Often,"Skipping classes, Bullying or getting into fights, Experimenting with substances I try alcohol, smoking, or other substances, Stealing or shoplifting, Running away from home, Avoiding homework or assignments intentionally, Using weapons or carrying dangerous objects that could hurt others",25.0,70.0,54.166666666666664,41.66666666666667,47.70833333333333,Low Risk,High Risk,Moderate Risk,Moderate Risk,50.19583333333333
48,Prefer not to say,Always,Rarely,Often,Always,Rarely,Always,Rarely,Yes,Rarely,Always,Often,Often,Sometimes,Never,Never,Rarely,Always,Always,Never,Sometimes,Always,Rarely,Often,Never,Often,Always,Never,Never,Always,Lack of concentration,Career,Yes,yes,No,No,No,No,Electricity/internet problems  ,Never,Often,Sometimes,Sometimes,No,Often,Sometimes,Rarely,Always,Ignoring the feelings  ,Sometimes,Yes,Changing the way I think  ,Always,Often,Never,Often,Always,Sometimes,Never,Always,Often,Rarely,No,No,Sometimes,Skip,"Skipping classes, Using weapons or carrying dangerous objects that could hurt others",40.0,30.0,70.83333333333334,66.66666666666666,51.875,Moderate Risk,Moderate Risk,High Risk,High Risk,51.62499999999999
49,Male,Often,Never,Always,Never,Rarely,Always,Always,Sometimes,Rarely,Never,Always,Rarely,Always,Rarely,Rarely,Sometimes,Sometimes,Never,Never,Never,Often,Rarely,Always,Sometimes,Sometimes,Never,Always,Sometimes,Sometimes,Poor study habits,Studies,Yes,Yes,No,No,yes,No,Technical issues  ,Rarely,Always,Never,Never,Yes,Rarely,Often,Always,Always,Talking to parents  ,Often,Yes,Writing a diary  ,Often,Never,Sometimes,Sometimes,Rarely,Sometimes,Always,Always,Sometimes,Rarely,Not Sure,Not Sure,Often,Rarely,"Skipping classes, Engaging in unsafe actions (e.g., reckless behavior, unsafe stunts), Experimenting with substances I try alcohol, smoking, or other substances, Stealing or shoplifting, Running away from home, Avoiding homework or assignments intentionally, Using weapons or carrying dangerous objects that could hurt others",55.00000000000001,55.00000000000001,45.83333333333333,75.0,57.708333333333336,Moderate Risk,Moderate Risk,Moderate Risk,High Risk,56.552083333333314
50,Prefer not to say,Never,Always,Never,Never,Rarely,Never,Rarely,No,Sometimes,Rarely,Sometimes,Never,Never,Sometimes,Never,Always,Never,Always,Often,Always,Often,Always,Never,Sometimes,Sometimes,Rarely,Never,Never,Always,Difficulty managing time,Results,Yes,Yes,No,No,No,No,Personal reasons  ,Never,Never,Often,Sometimes,No,Sometimes,Never,Always,Sometimes,Talking to teachers  ,Rarely,Yes,Yoga or meditation  ,Never,Rarely,Sometimes,Rarely,Rarely,Often,Rarely,Always,Always,Rarely,Not Sure,Not Sure,Sometimes,Never,"Engaging in unsafe actions (e.g., reckless behavior, unsafe stunts)",40.0,30.0,54.166666666666664,66.66666666666666,47.70833333333333,Moderate Risk,Moderate Risk,Moderate Risk,High Risk,51.70833333333333
